dataset,model,n_samples,n_features,missing_rate,roc_auc_mean,roc_auc_std,pr_auc_mean,pr_auc_std,brier_mean,brier_std,ppv_r90_mean,ppv_r90_std
kdl,logreg,6303,17,0.0016238765853795111,0.965309532669778,0.010246150444289143,0.755605508861397,0.050217804072407946,0.0706732737141174,0.004309378336145601,0.4112846838168409,0.01918866582266198
kdl,catboost,6303,17,0.0016238765853795111,0.9584634217395269,0.01224384747256984,0.7443838683968307,0.04623525300736544,0.039184853986240366,0.004403829236918744,0.8459919590527882,0.04909370784240437
29n,logreg,6303,25,0.012057750277645565,0.9670797413586467,0.009270935073239171,0.7696266080502898,0.052088392413091905,0.06582210959569328,0.00518979190508551,0.4623832506006748,0.021393414120763985
29n,catboost,6303,25,0.012057750277645565,0.9657577077917691,0.009748559065071542,0.7656737040058724,0.0461579285574168,0.03612608207523536,0.005603947964687803,0.8482544627410898,0.04205284087233
ext,logreg,6303,40,0.07874028240520388,0.9676980915777674,0.008825369349583714,0.7722579517432391,0.04989004294434702,0.06394305390289182,0.00530900805200062,0.4867128795806928,0.024113406556400138
ext,catboost,6303,40,0.07874028240520388,0.9686735250452114,0.009427571212341569,0.7912564988784073,0.044216366595478104,0.03379501622168835,0.004257638289381488,0.9002492662777222,0.055714229237659715
