dataset,delta_roc_auc_mean,delta_roc_auc_ci_lo,delta_roc_auc_ci_hi,delta_pr_auc_mean,delta_pr_auc_ci_lo,delta_pr_auc_ci_hi,delta_brier_mean,delta_brier_ci_lo,delta_brier_ci_hi,missing_rate
kdl,-0.0068461109302509005,-0.009245943496037103,-0.004446278364464698,-0.011221640464566454,-0.019996328716683144,-0.002446952212449765,0.03148841972787703,0.029087902654417564,0.0338889368013365,0.0016238765853795111
29n,-0.001322033566877508,-0.0036632370211132637,0.0010191698873582473,-0.003952904044417364,-0.016565753634469577,0.00865994554563485,0.029696027520457913,0.027369307059210587,0.03202274798170524,0.012057750277645565
ext,0.0009754334674440275,-0.0012656041365976564,0.0032164710714857113,0.018998547135168433,0.004859462305736438,0.03313763196460043,0.030148037681203457,0.02806459455466858,0.032231480807738334,0.07874028240520388
