iter	Passed	Remaining
391	1144	4694
392	1147	4692
393	1150	4688
394	1153	4686
395	1156	4682
396	1158	4679
397	1162	4679
398	1165	4676
399	1167	4671
400	1170	4668
401	1173	4665
402	1176	4660
403	1179	4658
404	1181	4654
405	1184	4650
406	1187	4647
407	1190	4645
408	1194	4645
409	1197	4645
410	1201	4645
411	1204	4643
412	1207	4641
413	1211	4642
414	1214	4640
415	1218	4638
416	1221	4636
417	1224	4633
418	1227	4631
419	1230	4627
420	1232	4624
421	1236	4622
422	1239	4619
423	1242	4618
424	1245	4614
425	1248	4611
426	1251	4609
427	1253	4604
428	1256	4601
429	1259	4598
430	1262	4595
431	1265	4592
432	1268	4590
433	1270	4585
434	1273	4583
435	1276	4579
436	1279	4577
437	1282	4574
438	1285	4570
439	1288	4568
440	1291	4565
441	1294	4562
442	1297	4560
443	1300	4556
444	1302	4552
445	1305	4549
446	1308	4546
447	1311	4543
448	1314	4540
449	1316	4536
450	1319	4531
451	1322	4529
452	1325	4527
453	1328	4524
454	1331	4522
455	1334	4518
456	1337	4517
457	1340	4513
458	1343	4510
459	1346	4507
460	1349	4503
461	1351	4499
462	1354	4497
463	1357	4494
464	1360	4491
465	1363	4488
466	1366	4484
467	1369	4481
468	1371	4478
469	1374	4475
470	1377	4472
471	1380	4467
472	1382	4463
473	1386	4462
474	1389	4459
475	1391	4456
476	1394	4453
477	1397	4448
478	1400	4445
479	1403	4444
480	1406	4440
481	1408	4437
482	1411	4434
483	1414	4429
484	1417	4429
485	1420	4426
486	1423	4422
487	1426	4419
488	1428	4415
489	1432	4414
490	1435	4412
491	1438	4409
492	1441	4407
493	1445	4405
494	1448	4402
495	1451	4400
496	1454	4397
497	1457	4396
498	1460	4394
499	1463	4391
500	1467	4389
501	1470	4387
502	1473	4384
503	1476	4382
504	1479	4379
505	1482	4377
506	1485	4374
507	1489	4373
508	1491	4369
509	1494	4365
510	1497	4363
511	1500	4359
512	1503	4356
513	1506	4354
514	1508	4350
515	1511	4347
516	1514	4344
517	1517	4341
518	1520	4338
519	1523	4336
520	1526	4333
521	1529	4331
522	1532	4328
523	1535	4325
524	1539	4323
525	1541	4320
526	1544	4317
527	1547	4314
528	1550	4311
529	1554	4310
530	1556	4306
531	1559	4303
532	1562	4300
533	1565	4298
534	1568	4294
535	1571	4291
536	1573	4287
537	1576	4285
538	1579	4282
539	1582	4279
540	1585	4276
541	1588	4272
542	1590	4268
543	1594	4266
544	1596	4263
545	1599	4259
546	1602	4256
547	1604	4252
548	1607	4249
549	1610	4247
550	1614	4244
551	1616	4241
552	1619	4237
553	1622	4233
554	1625	4233
555	1628	4229
556	1631	4226
557	1634	4223
558	1636	4219
559	1640	4218
560	1643	4215
561	1646	4211
562	1648	4208
563	1651	4205
564	1654	4201
565	1657	4199
566	1660	4195
567	1662	4192
568	1665	4188
569	1668	4184
570	1671	4182
571	1673	4178
572	1676	4174
573	1679	4171
574	1682	4168
575	1685	4165
576	1688	4164
577	1691	4160
578	1693	4157
579	1697	4155
580	1699	4151
581	1702	4148
582	1705	4145
583	1708	4142
584	1711	4139
585	1713	4135
586	1716	4132
587	1720	4130
588	1722	4126
589	1725	4123
590	1728	4120
591	1731	4117
592	1733	4113
593	1737	4111
594	1739	4108
595	1742	4105
596	1745	4102
