iter	Logloss
0	0.6615282092
1	0.6323758034
2	0.602469244
3	0.583122979
4	0.5592694252
5	0.5364846636
6	0.5170369315
7	0.4979587139
8	0.4812577233
9	0.4655621026
10	0.4513189026
11	0.4393624307
12	0.4254556835
13	0.4112078619
14	0.3978452885
15	0.386867527
16	0.3786643741
17	0.3695171793
18	0.3637966337
19	0.3550489739
20	0.3478312267
21	0.3434431983
22	0.3371657948
23	0.3308960107
24	0.324702517
25	0.3183003675
26	0.3135716077
27	0.3070517209
28	0.3029530569
29	0.2987644453
30	0.2949243789
31	0.2909631638
32	0.2879070503
33	0.2846191271
34	0.2820317231
35	0.2798130614
36	0.2778654173
37	0.2747481632
38	0.2712186612
39	0.2661815295
40	0.2643805569
41	0.261441819
42	0.2585420656
43	0.2571771192
44	0.2559673046
45	0.2542841302
46	0.25284903
47	0.2502754391
48	0.2487256904
49	0.2473810874
50	0.2453885266
51	0.2426483875
52	0.2407883021
53	0.2392405258
54	0.2380238581
55	0.2374358719
56	0.2356499453
57	0.2341904281
58	0.2330359889
59	0.2321624846
60	0.2304481223
61	0.2292650333
62	0.2280207365
63	0.2270191968
64	0.2259652603
65	0.2247812712
66	0.2230638123
67	0.2213047841
68	0.2202923169
69	0.2198341962
70	0.2195833577
71	0.218997347
72	0.2177559479
73	0.2172919402
74	0.2161510309
75	0.2154758371
76	0.2148131456
77	0.213797725
78	0.2132484692
79	0.2127094211
80	0.2121146382
81	0.2112699403
82	0.210420922
83	0.2094353942
84	0.2090100068
85	0.2085031662
86	0.2080590524
87	0.2075566705
88	0.2066653385
89	0.205979863
90	0.2054443533
91	0.2042105207
92	0.2034067176
93	0.202901612
94	0.202537536
95	0.2023530054
96	0.20169375
97	0.201489759
98	0.2008754721
99	0.2006736253
100	0.2003457132
101	0.2000390265
102	0.1996652788
103	0.1991337634
104	0.1985961285
105	0.1981788278
106	0.1977636128
107	0.197002331
108	0.1965464176
109	0.195652547
110	0.1949592316
111	0.1947396773
112	0.1938163193
113	0.1934174387
114	0.1926998485
115	0.1921846184
116	0.1919748052
117	0.1913068468
118	0.1906404642
119	0.1902504528
120	0.1897900125
121	0.1894511694
122	0.1888940493
123	0.1885230653
124	0.1874541956
125	0.1871318045
126	0.186792284
127	0.1863992866
128	0.1860173715
129	0.1854725045
130	0.1851418356
131	0.1847453026
132	0.1842981712
133	0.1841504225
134	0.1838999484
135	0.1837327043
136	0.1832346129
137	0.1825880014
138	0.1821806257
139	0.1818608434
140	0.1816209451
141	0.1812502999
142	0.1810537766
143	0.1806078689
144	0.1803799531
145	0.1801225107
146	0.1797399245
147	0.1794928746
148	0.1792533593
149	0.1791285348
150	0.1789528368
151	0.1786597117
152	0.1781277651
153	0.1779292792
154	0.1775894877
155	0.1774503993
156	0.1770984725
157	0.1769295928
158	0.1766619896
159	0.1761370944
160	0.1759704955
161	0.175799147
162	0.1756518595
163	0.1752927407
164	0.1746468358
165	0.1743988544
166	0.1738945357
167	0.1736891296
168	0.1732591586
169	0.1729806799
170	0.1728236136
171	0.1725897671
172	0.1721926817
173	0.171890954
174	0.1715271004
175	0.1712963387
176	0.1710824153
177	0.1706283241
178	0.1701106127
179	0.169761865
180	0.169436533
181	0.1692660998
182	0.1689226173
183	0.1687656147
184	0.168565207
185	0.1681890821
186	0.1679357102
187	0.1676171056
188	0.1674304851
189	0.1672162562
190	0.1669905147
191	0.1668108057
192	0.1667307622
193	0.1666091135
194	0.166369773
195	0.1661342933
196	0.1658478642
197	0.1657166475
198	0.1655457189
199	0.1651565614
200	0.1648807699
201	0.1647501882
202	0.1645418916
203	0.1642242943
204	0.1639935801
205	0.1636100609
206	0.1631113324
207	0.1629606622
208	0.1627314993
209	0.1622884268
210	0.1620424925
211	0.1618778328
212	0.1615168366
213	0.1614277736
214	0.1612576712
215	0.1610188931
216	0.1608906935
217	0.1607191806
218	0.1603438941
219	0.1599329776
220	0.1595457484
221	0.1593657192
222	0.1584212558
223	0.1581300441
224	0.1578323081
225	0.1575760831
226	0.1573822342
227	0.1572580249
228	0.156966811
229	0.1567218664
230	0.1565127262
231	0.1562334674
232	0.1557813431
233	0.1554267131
234	0.1551516139
235	0.1550244691
236	0.1545923088
237	0.1541896692
238	0.1539220369
239	0.153663734
240	0.153365641
241	0.1530312516
242	0.1527946146
243	0.1526644395
244	0.1524444862
245	0.1522571285
246	0.151965844
247	0.1517187337
248	0.1516224293
249	0.1514333807
250	0.1511306525
251	0.1507812188
252	0.1503058371
253	0.149982825
254	0.1497153535
255	0.1494629869
256	0.149219834
257	0.148970847
258	0.1486929147
259	0.1484596463
260	0.1481221264
261	0.1477928524
262	0.1474654192
263	0.1473402551
264	0.1469165374
265	0.1466374734
266	0.1463777406
267	0.1460190142
268	0.145779027
269	0.1456349552
270	0.1453714081
271	0.1449858849
272	0.1447191705
273	0.1444108107
274	0.144192587
275	0.1439759884
276	0.1437459557
277	0.1434166667
278	0.1430914111
279	0.1428952563
280	0.1424618846
281	0.1422888213
282	0.141985289
283	0.1417810154
284	0.1414794925
285	0.1411822203
286	0.1408276668
287	0.1404348619
288	0.1401761415
289	0.1398657127
290	0.1396532701
291	0.1392764257
292	0.1390331333
293	0.138783916
294	0.1384545781
