Возрастная группа,Показатель (код),Показатель,Ед.,n,q10,q20,q30,q40,q50,q60,q70,q80,q90
45-49,LBXMCVSI,MCV (ср. объём эритроцита),фл,740,77.88000000000001,82.48,84.87,86.3,87.7,89.3,90.6,92.2,94.4
45-49,LBXMOPCT,"Моноциты, %",%,740,5.2,6.0,6.5,6.8,7.2,7.7,8.2,9.1,10.1
45-49,LBXMPSI,MPV (ср. объём тромбоцита),фл,740,7.1,7.5,7.7,7.9,8.1,8.4,8.7,8.9,9.4
45-49,LBXNEPCT,"Нейтрофилы, %",%,740,45.68000000000001,50.3,53.47,56.26000000000001,58.4,60.5,62.9,65.2,69.2
45-49,LBXPLTSI,Тромбоциты (PLT),×10⁹/л,740,195.0,219.0,235.7,252.6,269.0,285.4,306.0,326.0,357.1
45-49,LBXRBCSI,Эритроциты (RBC),×10¹²/л,740,4.079,4.24,4.34,4.43,4.51,4.6,4.71,4.82,4.98
45-49,LBXRDW,RDW (анизоцитоз),%,740,12.7,13.0,13.2,13.4,13.7,14.1,14.6,15.3,16.5
45-49,LBXSCH,Холестерин общий,мг/дл,725,156.0,169.0,180.0,189.0,197.0,206.0,215.0,226.0,246.0
45-49,LBXSGL,Глюкоза (натощак/сывор.),мг/дл,726,81.5,85.0,87.0,90.0,93.0,95.0,99.0,105.0,123.0
45-49,LBXWBCSI,Лейкоциты (WBC),×10⁹/л,740,4.890000000000001,5.5,6.0,6.5,7.1,7.6,8.2,9.1,10.3
