SEQN,CYCLE,RIAGENDR,RIDAGEYR
87558.0,2015-2016,2.0,15.0
87571.0,2015-2016,2.0,19.0
87584.0,2015-2016,2.0,17.0
87598.0,2015-2016,2.0,27.0
87600.0,2015-2016,2.0,30.0
87602.0,2015-2016,2.0,18.0
87632.0,2015-2016,2.0,38.0
87633.0,2015-2016,2.0,46.0
87634.0,2015-2016,2.0,30.0
87636.0,2015-2016,2.0,42.0
87640.0,2015-2016,2.0,37.0
87645.0,2015-2016,2.0,42.0
87647.0,2015-2016,2.0,17.0
87648.0,2015-2016,2.0,39.0
87653.0,2015-2016,2.0,37.0
87664.0,2015-2016,2.0,34.0
87665.0,2015-2016,2.0,44.0
87666.0,2015-2016,2.0,16.0
87669.0,2015-2016,2.0,49.0
87675.0,2015-2016,2.0,17.0
87687.0,2015-2016,2.0,18.0
87694.0,2015-2016,2.0,25.0
87697.0,2015-2016,2.0,37.0
87707.0,2015-2016,2.0,27.0
87711.0,2015-2016,2.0,46.0
87712.0,2015-2016,2.0,33.0
87719.0,2015-2016,2.0,36.0
87720.0,2015-2016,2.0,27.0
87721.0,2015-2016,2.0,45.0
87723.0,2015-2016,2.0,14.0
87730.0,2015-2016,2.0,17.0
87732.0,2015-2016,2.0,16.0
87740.0,2015-2016,2.0,19.0
87741.0,2015-2016,2.0,26.0
87742.0,2015-2016,2.0,41.0
87769.0,2015-2016,2.0,37.0
87772.0,2015-2016,2.0,36.0
87776.0,2015-2016,2.0,48.0
87782.0,2015-2016,2.0,16.0
87787.0,2015-2016,2.0,12.0
87788.0,2015-2016,2.0,44.0
87789.0,2015-2016,2.0,15.0
87790.0,2015-2016,2.0,24.0
87797.0,2015-2016,2.0,30.0
87799.0,2015-2016,2.0,48.0
87800.0,2015-2016,2.0,36.0
87802.0,2015-2016,2.0,27.0
87808.0,2015-2016,2.0,35.0
87814.0,2015-2016,2.0,20.0
87820.0,2015-2016,2.0,14.0
87821.0,2015-2016,2.0,20.0
87822.0,2015-2016,2.0,16.0
87845.0,2015-2016,2.0,28.0
87846.0,2015-2016,2.0,17.0
87850.0,2015-2016,2.0,28.0
87852.0,2015-2016,2.0,48.0
87862.0,2015-2016,2.0,17.0
87874.0,2015-2016,2.0,46.0
87882.0,2015-2016,2.0,32.0
87891.0,2015-2016,2.0,42.0
87892.0,2015-2016,2.0,29.0
87895.0,2015-2016,2.0,37.0
87899.0,2015-2016,2.0,13.0
87901.0,2015-2016,2.0,38.0
87905.0,2015-2016,2.0,42.0
87906.0,2015-2016,2.0,22.0
87907.0,2015-2016,2.0,15.0
87913.0,2015-2016,2.0,26.0
87918.0,2015-2016,2.0,33.0
87925.0,2015-2016,2.0,33.0
87931.0,2015-2016,2.0,13.0
87935.0,2015-2016,2.0,12.0
87939.0,2015-2016,2.0,36.0
87942.0,2015-2016,2.0,32.0
87952.0,2015-2016,2.0,17.0
87957.0,2015-2016,2.0,48.0
87961.0,2015-2016,2.0,44.0
87963.0,2015-2016,2.0,15.0
87965.0,2015-2016,2.0,34.0
87969.0,2015-2016,2.0,38.0
87970.0,2015-2016,2.0,17.0
87978.0,2015-2016,2.0,14.0
87982.0,2015-2016,2.0,23.0
87994.0,2015-2016,2.0,37.0
87999.0,2015-2016,2.0,14.0
88000.0,2015-2016,2.0,43.0
88004.0,2015-2016,2.0,12.0
88005.0,2015-2016,2.0,21.0
88008.0,2015-2016,2.0,17.0
88027.0,2015-2016,2.0,20.0
88044.0,2015-2016,2.0,19.0
88047.0,2015-2016,2.0,29.0
88048.0,2015-2016,2.0,31.0
88049.0,2015-2016,2.0,20.0
88056.0,2015-2016,2.0,33.0
88057.0,2015-2016,2.0,16.0
88058.0,2015-2016,2.0,41.0
88060.0,2015-2016,2.0,23.0
88065.0,2015-2016,2.0,26.0
88071.0,2015-2016,2.0,20.0
88072.0,2015-2016,2.0,31.0
88073.0,2015-2016,2.0,18.0
88077.0,2015-2016,2.0,24.0
88081.0,2015-2016,2.0,36.0
88082.0,2015-2016,2.0,44.0
88083.0,2015-2016,2.0,46.0
88089.0,2015-2016,2.0,41.0
88099.0,2015-2016,2.0,42.0
88110.0,2015-2016,2.0,32.0
88116.0,2015-2016,2.0,41.0
88123.0,2015-2016,2.0,26.0
88138.0,2015-2016,2.0,44.0
88141.0,2015-2016,2.0,14.0
88147.0,2015-2016,2.0,27.0
88160.0,2015-2016,2.0,19.0
88164.0,2015-2016,2.0,45.0
88167.0,2015-2016,2.0,38.0
88182.0,2015-2016,2.0,38.0
88184.0,2015-2016,2.0,23.0
88185.0,2015-2016,2.0,42.0
88189.0,2015-2016,2.0,14.0
88199.0,2015-2016,2.0,29.0
88205.0,2015-2016,2.0,23.0
88211.0,2015-2016,2.0,44.0
88215.0,2015-2016,2.0,22.0
88216.0,2015-2016,2.0,28.0
88230.0,2015-2016,2.0,42.0
88234.0,2015-2016,2.0,18.0
88254.0,2015-2016,2.0,19.0
88257.0,2015-2016,2.0,31.0
88261.0,2015-2016,2.0,31.0
88269.0,2015-2016,2.0,14.0
88272.0,2015-2016,2.0,43.0
88277.0,2015-2016,2.0,15.0
88293.0,2015-2016,2.0,41.0
88296.0,2015-2016,2.0,17.0
88297.0,2015-2016,2.0,40.0
88299.0,2015-2016,2.0,15.0
88302.0,2015-2016,2.0,44.0
88318.0,2015-2016,2.0,23.0
88323.0,2015-2016,2.0,12.0
88328.0,2015-2016,2.0,46.0
88332.0,2015-2016,2.0,23.0
88333.0,2015-2016,2.0,43.0
88334.0,2015-2016,2.0,39.0
88335.0,2015-2016,2.0,33.0
88336.0,2015-2016,2.0,28.0
88339.0,2015-2016,2.0,43.0
88348.0,2015-2016,2.0,26.0
88349.0,2015-2016,2.0,16.0
88351.0,2015-2016,2.0,41.0
88352.0,2015-2016,2.0,27.0
88354.0,2015-2016,2.0,16.0
88360.0,2015-2016,2.0,20.0
88361.0,2015-2016,2.0,36.0
88366.0,2015-2016,2.0,42.0
88377.0,2015-2016,2.0,30.0
88383.0,2015-2016,2.0,16.0
88384.0,2015-2016,2.0,37.0
88385.0,2015-2016,2.0,43.0
88386.0,2015-2016,2.0,38.0
88392.0,2015-2016,2.0,42.0
88397.0,2015-2016,2.0,12.0
88402.0,2015-2016,2.0,47.0
88412.0,2015-2016,2.0,34.0
88414.0,2015-2016,2.0,25.0
88433.0,2015-2016,2.0,22.0
88439.0,2015-2016,2.0,47.0
88440.0,2015-2016,2.0,39.0
88444.0,2015-2016,2.0,17.0
88445.0,2015-2016,2.0,31.0
88451.0,2015-2016,2.0,34.0
88452.0,2015-2016,2.0,12.0
88457.0,2015-2016,2.0,17.0
88460.0,2015-2016,2.0,46.0
88473.0,2015-2016,2.0,13.0
88476.0,2015-2016,2.0,35.0
88480.0,2015-2016,2.0,22.0
88485.0,2015-2016,2.0,40.0
88493.0,2015-2016,2.0,15.0
88495.0,2015-2016,2.0,15.0
88496.0,2015-2016,2.0,37.0
88497.0,2015-2016,2.0,42.0
88500.0,2015-2016,2.0,14.0
88503.0,2015-2016,2.0,48.0
88504.0,2015-2016,2.0,22.0
88507.0,2015-2016,2.0,32.0
88508.0,2015-2016,2.0,16.0
88521.0,2015-2016,2.0,19.0
88529.0,2015-2016,2.0,35.0
88530.0,2015-2016,2.0,49.0
88531.0,2015-2016,2.0,40.0
88533.0,2015-2016,2.0,34.0
88535.0,2015-2016,2.0,13.0
88536.0,2015-2016,2.0,35.0
88540.0,2015-2016,2.0,22.0
88541.0,2015-2016,2.0,16.0
88542.0,2015-2016,2.0,28.0
88552.0,2015-2016,2.0,42.0
88562.0,2015-2016,2.0,44.0
88565.0,2015-2016,2.0,46.0
88568.0,2015-2016,2.0,23.0
88570.0,2015-2016,2.0,29.0
88572.0,2015-2016,2.0,34.0
88580.0,2015-2016,2.0,27.0
88583.0,2015-2016,2.0,31.0
88589.0,2015-2016,2.0,37.0
88591.0,2015-2016,2.0,38.0
88596.0,2015-2016,2.0,15.0
88601.0,2015-2016,2.0,24.0
88605.0,2015-2016,2.0,37.0
88607.0,2015-2016,2.0,21.0
88608.0,2015-2016,2.0,28.0
88611.0,2015-2016,2.0,19.0
88614.0,2015-2016,2.0,35.0
88623.0,2015-2016,2.0,29.0
88625.0,2015-2016,2.0,33.0
88632.0,2015-2016,2.0,42.0
88652.0,2015-2016,2.0,18.0
88653.0,2015-2016,2.0,31.0
88666.0,2015-2016,2.0,28.0
88673.0,2015-2016,2.0,26.0
88674.0,2015-2016,2.0,27.0
88677.0,2015-2016,2.0,31.0
88680.0,2015-2016,2.0,38.0
88684.0,2015-2016,2.0,28.0
88688.0,2015-2016,2.0,17.0
88689.0,2015-2016,2.0,41.0
88694.0,2015-2016,2.0,19.0
88696.0,2015-2016,2.0,47.0
88699.0,2015-2016,2.0,42.0
88700.0,2015-2016,2.0,21.0
88702.0,2015-2016,2.0,20.0
88703.0,2015-2016,2.0,47.0
88704.0,2015-2016,2.0,29.0
88707.0,2015-2016,2.0,23.0
88708.0,2015-2016,2.0,49.0
88709.0,2015-2016,2.0,25.0
88717.0,2015-2016,2.0,34.0
88720.0,2015-2016,2.0,28.0
88721.0,2015-2016,2.0,42.0
88726.0,2015-2016,2.0,14.0
88744.0,2015-2016,2.0,27.0
88748.0,2015-2016,2.0,38.0
88753.0,2015-2016,2.0,12.0
88754.0,2015-2016,2.0,18.0
88762.0,2015-2016,2.0,16.0
88766.0,2015-2016,2.0,48.0
88772.0,2015-2016,2.0,18.0
88776.0,2015-2016,2.0,42.0
88786.0,2015-2016,2.0,43.0
88790.0,2015-2016,2.0,31.0
88795.0,2015-2016,2.0,30.0
88798.0,2015-2016,2.0,43.0
88799.0,2015-2016,2.0,21.0
88803.0,2015-2016,2.0,32.0
88811.0,2015-2016,2.0,19.0
88816.0,2015-2016,2.0,47.0
88818.0,2015-2016,2.0,28.0
88829.0,2015-2016,2.0,41.0
88830.0,2015-2016,2.0,45.0
88833.0,2015-2016,2.0,28.0
88835.0,2015-2016,2.0,28.0
88839.0,2015-2016,2.0,12.0
88840.0,2015-2016,2.0,20.0
88842.0,2015-2016,2.0,26.0
88843.0,2015-2016,2.0,28.0
88858.0,2015-2016,2.0,18.0
88867.0,2015-2016,2.0,28.0
88868.0,2015-2016,2.0,38.0
88876.0,2015-2016,2.0,19.0
88879.0,2015-2016,2.0,32.0
88886.0,2015-2016,2.0,12.0
88890.0,2015-2016,2.0,21.0
88891.0,2015-2016,2.0,36.0
88892.0,2015-2016,2.0,27.0
88900.0,2015-2016,2.0,49.0
88903.0,2015-2016,2.0,22.0
88905.0,2015-2016,2.0,17.0
88907.0,2015-2016,2.0,44.0
88910.0,2015-2016,2.0,29.0
88918.0,2015-2016,2.0,18.0
88920.0,2015-2016,2.0,33.0
88932.0,2015-2016,2.0,38.0
88933.0,2015-2016,2.0,41.0
88937.0,2015-2016,2.0,48.0
88941.0,2015-2016,2.0,13.0
88944.0,2015-2016,2.0,20.0
88949.0,2015-2016,2.0,38.0
88950.0,2015-2016,2.0,43.0
88951.0,2015-2016,2.0,20.0
88964.0,2015-2016,2.0,19.0
88970.0,2015-2016,2.0,23.0
88976.0,2015-2016,2.0,46.0
88986.0,2015-2016,2.0,22.0
88992.0,2015-2016,2.0,27.0
88999.0,2015-2016,2.0,16.0
89008.0,2015-2016,2.0,16.0
89012.0,2015-2016,2.0,24.0
89021.0,2015-2016,2.0,12.0
89025.0,2015-2016,2.0,48.0
89026.0,2015-2016,2.0,36.0
89031.0,2015-2016,2.0,41.0
89036.0,2015-2016,2.0,46.0
89038.0,2015-2016,2.0,25.0
89041.0,2015-2016,2.0,48.0
89062.0,2015-2016,2.0,15.0
89072.0,2015-2016,2.0,39.0
89074.0,2015-2016,2.0,19.0
89076.0,2015-2016,2.0,37.0
89080.0,2015-2016,2.0,34.0
89083.0,2015-2016,2.0,46.0
89085.0,2015-2016,2.0,17.0
89086.0,2015-2016,2.0,17.0
89092.0,2015-2016,2.0,13.0
89104.0,2015-2016,2.0,43.0
89106.0,2015-2016,2.0,44.0
89111.0,2015-2016,2.0,27.0
89146.0,2015-2016,2.0,42.0
89152.0,2015-2016,2.0,20.0
89155.0,2015-2016,2.0,14.0
89160.0,2015-2016,2.0,35.0
89170.0,2015-2016,2.0,17.0
89174.0,2015-2016,2.0,30.0
89175.0,2015-2016,2.0,44.0
89176.0,2015-2016,2.0,16.0
89183.0,2015-2016,2.0,24.0
89187.0,2015-2016,2.0,12.0
89189.0,2015-2016,2.0,48.0
89197.0,2015-2016,2.0,47.0
89200.0,2015-2016,2.0,31.0
89211.0,2015-2016,2.0,29.0
89215.0,2015-2016,2.0,19.0
89217.0,2015-2016,2.0,17.0
89218.0,2015-2016,2.0,29.0
89223.0,2015-2016,2.0,43.0
89227.0,2015-2016,2.0,33.0
89229.0,2015-2016,2.0,15.0
89230.0,2015-2016,2.0,31.0
89233.0,2015-2016,2.0,31.0
89241.0,2015-2016,2.0,44.0
89243.0,2015-2016,2.0,49.0
89270.0,2015-2016,2.0,25.0
89272.0,2015-2016,2.0,14.0
89273.0,2015-2016,2.0,19.0
89276.0,2015-2016,2.0,45.0
89278.0,2015-2016,2.0,25.0
89284.0,2015-2016,2.0,42.0
89291.0,2015-2016,2.0,13.0
89296.0,2015-2016,2.0,12.0
89304.0,2015-2016,2.0,30.0
89305.0,2015-2016,2.0,32.0
89307.0,2015-2016,2.0,15.0
89314.0,2015-2016,2.0,39.0
89328.0,2015-2016,2.0,15.0
89329.0,2015-2016,2.0,43.0
89340.0,2015-2016,2.0,24.0
89341.0,2015-2016,2.0,16.0
89343.0,2015-2016,2.0,16.0
89345.0,2015-2016,2.0,30.0
89348.0,2015-2016,2.0,43.0
89359.0,2015-2016,2.0,30.0
89362.0,2015-2016,2.0,41.0
89364.0,2015-2016,2.0,23.0
89377.0,2015-2016,2.0,17.0
89399.0,2015-2016,2.0,30.0
89407.0,2015-2016,2.0,32.0
89410.0,2015-2016,2.0,12.0
89417.0,2015-2016,2.0,48.0
89424.0,2015-2016,2.0,17.0
89434.0,2015-2016,2.0,46.0
89435.0,2015-2016,2.0,46.0
89440.0,2015-2016,2.0,17.0
89444.0,2015-2016,2.0,48.0
89448.0,2015-2016,2.0,17.0
89453.0,2015-2016,2.0,25.0
89456.0,2015-2016,2.0,16.0
89457.0,2015-2016,2.0,48.0
89467.0,2015-2016,2.0,16.0
89468.0,2015-2016,2.0,12.0
89470.0,2015-2016,2.0,46.0
89474.0,2015-2016,2.0,29.0
89475.0,2015-2016,2.0,46.0
89476.0,2015-2016,2.0,44.0
89486.0,2015-2016,2.0,12.0
89493.0,2015-2016,2.0,26.0
89494.0,2015-2016,2.0,42.0
89495.0,2015-2016,2.0,49.0
89496.0,2015-2016,2.0,48.0
89508.0,2015-2016,2.0,20.0
89511.0,2015-2016,2.0,45.0
89523.0,2015-2016,2.0,26.0
89529.0,2015-2016,2.0,20.0
89536.0,2015-2016,2.0,47.0
89545.0,2015-2016,2.0,41.0
89552.0,2015-2016,2.0,19.0
89562.0,2015-2016,2.0,34.0
89567.0,2015-2016,2.0,15.0
89575.0,2015-2016,2.0,25.0
89584.0,2015-2016,2.0,23.0
89589.0,2015-2016,2.0,30.0
89592.0,2015-2016,2.0,14.0
89601.0,2015-2016,2.0,30.0
89607.0,2015-2016,2.0,17.0
89613.0,2015-2016,2.0,18.0
89620.0,2015-2016,2.0,27.0
89622.0,2015-2016,2.0,46.0
89637.0,2015-2016,2.0,40.0
89639.0,2015-2016,2.0,29.0
89640.0,2015-2016,2.0,48.0
89642.0,2015-2016,2.0,37.0
89647.0,2015-2016,2.0,47.0
89651.0,2015-2016,2.0,26.0
89654.0,2015-2016,2.0,18.0
89659.0,2015-2016,2.0,43.0
89681.0,2015-2016,2.0,16.0
89684.0,2015-2016,2.0,42.0
89685.0,2015-2016,2.0,41.0
89702.0,2015-2016,2.0,18.0
89705.0,2015-2016,2.0,34.0
89708.0,2015-2016,2.0,15.0
89711.0,2015-2016,2.0,36.0
89712.0,2015-2016,2.0,48.0
89722.0,2015-2016,2.0,48.0
89723.0,2015-2016,2.0,40.0
89730.0,2015-2016,2.0,32.0
89737.0,2015-2016,2.0,46.0
89743.0,2015-2016,2.0,41.0
89749.0,2015-2016,2.0,20.0
89750.0,2015-2016,2.0,33.0
89752.0,2015-2016,2.0,27.0
89754.0,2015-2016,2.0,13.0
89758.0,2015-2016,2.0,12.0
89759.0,2015-2016,2.0,12.0
89762.0,2015-2016,2.0,35.0
89766.0,2015-2016,2.0,13.0
89772.0,2015-2016,2.0,16.0
89774.0,2015-2016,2.0,32.0
89777.0,2015-2016,2.0,17.0
89781.0,2015-2016,2.0,17.0
89782.0,2015-2016,2.0,14.0
89792.0,2015-2016,2.0,30.0
89794.0,2015-2016,2.0,29.0
89795.0,2015-2016,2.0,22.0
89802.0,2015-2016,2.0,25.0
89805.0,2015-2016,2.0,26.0
89809.0,2015-2016,2.0,48.0
89810.0,2015-2016,2.0,24.0
89813.0,2015-2016,2.0,40.0
89816.0,2015-2016,2.0,26.0
89820.0,2015-2016,2.0,35.0
89823.0,2015-2016,2.0,21.0
89825.0,2015-2016,2.0,23.0
89829.0,2015-2016,2.0,39.0
89830.0,2015-2016,2.0,17.0
89832.0,2015-2016,2.0,26.0
89833.0,2015-2016,2.0,36.0
89839.0,2015-2016,2.0,36.0
89854.0,2015-2016,2.0,37.0
89868.0,2015-2016,2.0,25.0
89875.0,2015-2016,2.0,17.0
89876.0,2015-2016,2.0,16.0
89879.0,2015-2016,2.0,14.0
89880.0,2015-2016,2.0,12.0
89886.0,2015-2016,2.0,38.0
89892.0,2015-2016,2.0,42.0
89893.0,2015-2016,2.0,15.0
89901.0,2015-2016,2.0,36.0
89904.0,2015-2016,2.0,30.0
89908.0,2015-2016,2.0,30.0
89911.0,2015-2016,2.0,32.0
89919.0,2015-2016,2.0,40.0
89927.0,2015-2016,2.0,41.0
89929.0,2015-2016,2.0,31.0
89930.0,2015-2016,2.0,12.0
89934.0,2015-2016,2.0,19.0
89935.0,2015-2016,2.0,46.0
89950.0,2015-2016,2.0,26.0
89957.0,2015-2016,2.0,33.0
89959.0,2015-2016,2.0,32.0
89968.0,2015-2016,2.0,13.0
89970.0,2015-2016,2.0,47.0
89980.0,2015-2016,2.0,33.0
89981.0,2015-2016,2.0,46.0
89986.0,2015-2016,2.0,28.0
89988.0,2015-2016,2.0,16.0
89994.0,2015-2016,2.0,45.0
90005.0,2015-2016,2.0,19.0
90011.0,2015-2016,2.0,48.0
90020.0,2015-2016,2.0,33.0
90025.0,2015-2016,2.0,15.0
90028.0,2015-2016,2.0,43.0
90036.0,2015-2016,2.0,36.0
90039.0,2015-2016,2.0,12.0
90048.0,2015-2016,2.0,41.0
90061.0,2015-2016,2.0,45.0
90062.0,2015-2016,2.0,34.0
90064.0,2015-2016,2.0,17.0
90069.0,2015-2016,2.0,40.0
90074.0,2015-2016,2.0,42.0
90083.0,2015-2016,2.0,17.0
90093.0,2015-2016,2.0,24.0
90105.0,2015-2016,2.0,16.0
90111.0,2015-2016,2.0,36.0
90112.0,2015-2016,2.0,16.0
90113.0,2015-2016,2.0,27.0
90121.0,2015-2016,2.0,44.0
90125.0,2015-2016,2.0,39.0
90128.0,2015-2016,2.0,13.0
90146.0,2015-2016,2.0,34.0
90153.0,2015-2016,2.0,34.0
90157.0,2015-2016,2.0,46.0
90167.0,2015-2016,2.0,39.0
90168.0,2015-2016,2.0,49.0
90169.0,2015-2016,2.0,12.0
90184.0,2015-2016,2.0,36.0
90185.0,2015-2016,2.0,46.0
90186.0,2015-2016,2.0,48.0
90189.0,2015-2016,2.0,23.0
90190.0,2015-2016,2.0,46.0
90198.0,2015-2016,2.0,16.0
90201.0,2015-2016,2.0,17.0
90205.0,2015-2016,2.0,17.0
90227.0,2015-2016,2.0,12.0
90238.0,2015-2016,2.0,14.0
90250.0,2015-2016,2.0,23.0
90260.0,2015-2016,2.0,45.0
90262.0,2015-2016,2.0,30.0
90265.0,2015-2016,2.0,14.0
90266.0,2015-2016,2.0,33.0
90268.0,2015-2016,2.0,22.0
90281.0,2015-2016,2.0,46.0
90287.0,2015-2016,2.0,36.0
90293.0,2015-2016,2.0,48.0
90295.0,2015-2016,2.0,48.0
90297.0,2015-2016,2.0,21.0
90298.0,2015-2016,2.0,48.0
90307.0,2015-2016,2.0,42.0
90314.0,2015-2016,2.0,15.0
90319.0,2015-2016,2.0,18.0
90321.0,2015-2016,2.0,44.0
90323.0,2015-2016,2.0,45.0
90327.0,2015-2016,2.0,19.0
90328.0,2015-2016,2.0,35.0
90344.0,2015-2016,2.0,18.0
90349.0,2015-2016,2.0,16.0
90354.0,2015-2016,2.0,43.0
90356.0,2015-2016,2.0,33.0
90361.0,2015-2016,2.0,22.0
90366.0,2015-2016,2.0,28.0
90369.0,2015-2016,2.0,40.0
90377.0,2015-2016,2.0,23.0
90384.0,2015-2016,2.0,47.0
90398.0,2015-2016,2.0,23.0
90403.0,2015-2016,2.0,23.0
90406.0,2015-2016,2.0,29.0
90422.0,2015-2016,2.0,42.0
90426.0,2015-2016,2.0,35.0
90433.0,2015-2016,2.0,18.0
90434.0,2015-2016,2.0,12.0
90447.0,2015-2016,2.0,43.0
90454.0,2015-2016,2.0,20.0
90457.0,2015-2016,2.0,13.0
90458.0,2015-2016,2.0,19.0
90461.0,2015-2016,2.0,37.0
90463.0,2015-2016,2.0,44.0
90470.0,2015-2016,2.0,44.0
90483.0,2015-2016,2.0,15.0
90485.0,2015-2016,2.0,16.0
90494.0,2015-2016,2.0,37.0
90501.0,2015-2016,2.0,21.0
90502.0,2015-2016,2.0,27.0
90504.0,2015-2016,2.0,18.0
90515.0,2015-2016,2.0,27.0
90516.0,2015-2016,2.0,28.0
90527.0,2015-2016,2.0,38.0
90528.0,2015-2016,2.0,40.0
90531.0,2015-2016,2.0,24.0
90532.0,2015-2016,2.0,27.0
90533.0,2015-2016,2.0,34.0
90540.0,2015-2016,2.0,24.0
90542.0,2015-2016,2.0,47.0
90544.0,2015-2016,2.0,28.0
90547.0,2015-2016,2.0,28.0
90551.0,2015-2016,2.0,40.0
90569.0,2015-2016,2.0,36.0
90573.0,2015-2016,2.0,34.0
90576.0,2015-2016,2.0,34.0
90586.0,2015-2016,2.0,24.0
90588.0,2015-2016,2.0,35.0
90592.0,2015-2016,2.0,16.0
90593.0,2015-2016,2.0,49.0
90596.0,2015-2016,2.0,13.0
90599.0,2015-2016,2.0,40.0
90604.0,2015-2016,2.0,14.0
90608.0,2015-2016,2.0,27.0
90609.0,2015-2016,2.0,49.0
90610.0,2015-2016,2.0,43.0
90614.0,2015-2016,2.0,23.0
90618.0,2015-2016,2.0,34.0
90623.0,2015-2016,2.0,21.0
90627.0,2015-2016,2.0,44.0
90629.0,2015-2016,2.0,16.0
90633.0,2015-2016,2.0,42.0
90640.0,2015-2016,2.0,41.0
90642.0,2015-2016,2.0,42.0
90651.0,2015-2016,2.0,44.0
90658.0,2015-2016,2.0,43.0
90659.0,2015-2016,2.0,36.0
90664.0,2015-2016,2.0,18.0
90668.0,2015-2016,2.0,18.0
90670.0,2015-2016,2.0,34.0
90686.0,2015-2016,2.0,13.0
90692.0,2015-2016,2.0,30.0
90693.0,2015-2016,2.0,13.0
90700.0,2015-2016,2.0,40.0
90712.0,2015-2016,2.0,16.0
90718.0,2015-2016,2.0,31.0
90720.0,2015-2016,2.0,44.0
90721.0,2015-2016,2.0,43.0
90723.0,2015-2016,2.0,13.0
90726.0,2015-2016,2.0,32.0
90728.0,2015-2016,2.0,17.0
90735.0,2015-2016,2.0,17.0
90736.0,2015-2016,2.0,14.0
90742.0,2015-2016,2.0,27.0
90744.0,2015-2016,2.0,20.0
90745.0,2015-2016,2.0,32.0
90746.0,2015-2016,2.0,35.0
90754.0,2015-2016,2.0,27.0
90755.0,2015-2016,2.0,39.0
90767.0,2015-2016,2.0,40.0
90768.0,2015-2016,2.0,48.0
90773.0,2015-2016,2.0,13.0
90782.0,2015-2016,2.0,17.0
90794.0,2015-2016,2.0,33.0
90798.0,2015-2016,2.0,35.0
90801.0,2015-2016,2.0,15.0
90804.0,2015-2016,2.0,27.0
90805.0,2015-2016,2.0,22.0
90808.0,2015-2016,2.0,48.0
90820.0,2015-2016,2.0,16.0
90832.0,2015-2016,2.0,26.0
90837.0,2015-2016,2.0,23.0
90842.0,2015-2016,2.0,25.0
90851.0,2015-2016,2.0,32.0
90852.0,2015-2016,2.0,34.0
90853.0,2015-2016,2.0,14.0
90856.0,2015-2016,2.0,42.0
90871.0,2015-2016,2.0,36.0
90873.0,2015-2016,2.0,46.0
90877.0,2015-2016,2.0,14.0
90883.0,2015-2016,2.0,23.0
90889.0,2015-2016,2.0,47.0
90895.0,2015-2016,2.0,49.0
90905.0,2015-2016,2.0,14.0
90910.0,2015-2016,2.0,12.0
90911.0,2015-2016,2.0,19.0
90914.0,2015-2016,2.0,23.0
90917.0,2015-2016,2.0,19.0
90918.0,2015-2016,2.0,15.0
90919.0,2015-2016,2.0,28.0
90924.0,2015-2016,2.0,33.0
90925.0,2015-2016,2.0,23.0
90926.0,2015-2016,2.0,28.0
90931.0,2015-2016,2.0,35.0
90932.0,2015-2016,2.0,45.0
90946.0,2015-2016,2.0,24.0
90953.0,2015-2016,2.0,12.0
90956.0,2015-2016,2.0,29.0
90959.0,2015-2016,2.0,15.0
90964.0,2015-2016,2.0,31.0
90965.0,2015-2016,2.0,15.0
90966.0,2015-2016,2.0,29.0
90970.0,2015-2016,2.0,46.0
90980.0,2015-2016,2.0,38.0
90989.0,2015-2016,2.0,18.0
90994.0,2015-2016,2.0,21.0
91008.0,2015-2016,2.0,27.0
91015.0,2015-2016,2.0,16.0
91017.0,2015-2016,2.0,48.0
91025.0,2015-2016,2.0,26.0
91026.0,2015-2016,2.0,45.0
91041.0,2015-2016,2.0,14.0
91043.0,2015-2016,2.0,44.0
91047.0,2015-2016,2.0,13.0
91051.0,2015-2016,2.0,12.0
91054.0,2015-2016,2.0,37.0
91055.0,2015-2016,2.0,12.0
91059.0,2015-2016,2.0,17.0
91060.0,2015-2016,2.0,15.0
91067.0,2015-2016,2.0,17.0
91074.0,2015-2016,2.0,24.0
91078.0,2015-2016,2.0,36.0
91080.0,2015-2016,2.0,29.0
91082.0,2015-2016,2.0,45.0
91085.0,2015-2016,2.0,15.0
91091.0,2015-2016,2.0,22.0
91092.0,2015-2016,2.0,13.0
91097.0,2015-2016,2.0,13.0
91106.0,2015-2016,2.0,26.0
91108.0,2015-2016,2.0,49.0
91111.0,2015-2016,2.0,46.0
91112.0,2015-2016,2.0,39.0
91113.0,2015-2016,2.0,31.0
91122.0,2015-2016,2.0,14.0
91124.0,2015-2016,2.0,12.0
91126.0,2015-2016,2.0,44.0
91133.0,2015-2016,2.0,24.0
91136.0,2015-2016,2.0,12.0
91138.0,2015-2016,2.0,35.0
91139.0,2015-2016,2.0,32.0
91144.0,2015-2016,2.0,30.0
91155.0,2015-2016,2.0,44.0
91156.0,2015-2016,2.0,29.0
91161.0,2015-2016,2.0,28.0
91163.0,2015-2016,2.0,28.0
91164.0,2015-2016,2.0,17.0
91174.0,2015-2016,2.0,26.0
91189.0,2015-2016,2.0,39.0
91204.0,2015-2016,2.0,38.0
91211.0,2015-2016,2.0,40.0
91215.0,2015-2016,2.0,43.0
91216.0,2015-2016,2.0,29.0
91222.0,2015-2016,2.0,48.0
91227.0,2015-2016,2.0,16.0
91228.0,2015-2016,2.0,31.0
91234.0,2015-2016,2.0,39.0
91236.0,2015-2016,2.0,17.0
91249.0,2015-2016,2.0,29.0
91250.0,2015-2016,2.0,15.0
91253.0,2015-2016,2.0,44.0
91261.0,2015-2016,2.0,44.0
91271.0,2015-2016,2.0,44.0
91275.0,2015-2016,2.0,19.0
