SEQN,CYCLE,RIAGENDR,RIDAGEYR
84547.0,2015-2016,2.0,37.0
84565.0,2015-2016,2.0,25.0
84576.0,2015-2016,2.0,46.0
84579.0,2015-2016,2.0,27.0
84587.0,2015-2016,2.0,22.0
84605.0,2015-2016,2.0,14.0
84607.0,2015-2016,2.0,40.0
84617.0,2015-2016,2.0,42.0
84618.0,2015-2016,2.0,23.0
84619.0,2015-2016,2.0,41.0
84620.0,2015-2016,2.0,21.0
84625.0,2015-2016,2.0,40.0
84628.0,2015-2016,2.0,32.0
84639.0,2015-2016,2.0,30.0
84641.0,2015-2016,2.0,28.0
84650.0,2015-2016,2.0,30.0
84651.0,2015-2016,2.0,12.0
84658.0,2015-2016,2.0,22.0
84659.0,2015-2016,2.0,47.0
84671.0,2015-2016,2.0,25.0
84672.0,2015-2016,2.0,39.0
84677.0,2015-2016,2.0,43.0
84678.0,2015-2016,2.0,15.0
84685.0,2015-2016,2.0,27.0
84689.0,2015-2016,2.0,47.0
84700.0,2015-2016,2.0,48.0
84716.0,2015-2016,2.0,44.0
84725.0,2015-2016,2.0,12.0
84734.0,2015-2016,2.0,36.0
84745.0,2015-2016,2.0,42.0
84759.0,2015-2016,2.0,34.0
84765.0,2015-2016,2.0,44.0
84766.0,2015-2016,2.0,40.0
84768.0,2015-2016,2.0,33.0
84773.0,2015-2016,2.0,15.0
84774.0,2015-2016,2.0,48.0
84778.0,2015-2016,2.0,20.0
84780.0,2015-2016,2.0,29.0
84783.0,2015-2016,2.0,47.0
84795.0,2015-2016,2.0,38.0
84797.0,2015-2016,2.0,25.0
84815.0,2015-2016,2.0,15.0
84816.0,2015-2016,2.0,28.0
84818.0,2015-2016,2.0,33.0
84825.0,2015-2016,2.0,41.0
84826.0,2015-2016,2.0,45.0
84833.0,2015-2016,2.0,32.0
84837.0,2015-2016,2.0,45.0
84841.0,2015-2016,2.0,27.0
84847.0,2015-2016,2.0,28.0
84852.0,2015-2016,2.0,28.0
84857.0,2015-2016,2.0,13.0
84859.0,2015-2016,2.0,42.0
84879.0,2015-2016,2.0,35.0
84880.0,2015-2016,2.0,44.0
84882.0,2015-2016,2.0,15.0
84887.0,2015-2016,2.0,42.0
84893.0,2015-2016,2.0,46.0
84899.0,2015-2016,2.0,32.0
84903.0,2015-2016,2.0,14.0
84904.0,2015-2016,2.0,48.0
84913.0,2015-2016,2.0,47.0
84915.0,2015-2016,2.0,45.0
84918.0,2015-2016,2.0,16.0
84924.0,2015-2016,2.0,28.0
84927.0,2015-2016,2.0,43.0
84936.0,2015-2016,2.0,12.0
84937.0,2015-2016,2.0,26.0
84945.0,2015-2016,2.0,30.0
84946.0,2015-2016,2.0,38.0
84948.0,2015-2016,2.0,41.0
84956.0,2015-2016,2.0,43.0
84963.0,2015-2016,2.0,16.0
84964.0,2015-2016,2.0,22.0
84965.0,2015-2016,2.0,16.0
84973.0,2015-2016,2.0,18.0
84974.0,2015-2016,2.0,28.0
84985.0,2015-2016,2.0,26.0
84989.0,2015-2016,2.0,37.0
84997.0,2015-2016,2.0,29.0
85001.0,2015-2016,2.0,19.0
85009.0,2015-2016,2.0,25.0
85010.0,2015-2016,2.0,20.0
85018.0,2015-2016,2.0,15.0
85019.0,2015-2016,2.0,36.0
85020.0,2015-2016,2.0,18.0
85030.0,2015-2016,2.0,17.0
85040.0,2015-2016,2.0,25.0
85055.0,2015-2016,2.0,39.0
85063.0,2015-2016,2.0,26.0
85073.0,2015-2016,2.0,41.0
85074.0,2015-2016,2.0,23.0
85075.0,2015-2016,2.0,41.0
85076.0,2015-2016,2.0,36.0
85091.0,2015-2016,2.0,16.0
85095.0,2015-2016,2.0,22.0
85100.0,2015-2016,2.0,13.0
85102.0,2015-2016,2.0,13.0
85104.0,2015-2016,2.0,29.0
85108.0,2015-2016,2.0,16.0
85111.0,2015-2016,2.0,49.0
85114.0,2015-2016,2.0,22.0
85118.0,2015-2016,2.0,45.0
85126.0,2015-2016,2.0,39.0
85129.0,2015-2016,2.0,15.0
85131.0,2015-2016,2.0,24.0
85132.0,2015-2016,2.0,31.0
85138.0,2015-2016,2.0,31.0
85147.0,2015-2016,2.0,25.0
85158.0,2015-2016,2.0,44.0
85159.0,2015-2016,2.0,31.0
85160.0,2015-2016,2.0,26.0
85171.0,2015-2016,2.0,29.0
85172.0,2015-2016,2.0,14.0
85173.0,2015-2016,2.0,45.0
